id,EAP,HPL,MWS
id02310,0.02295536020714394,0.021316716812820567,0.9557279229800315
id24541,0.9942503522992918,0.0007988240428725502,0.004950823657826497
id00134,0.1501330779870146,0.8470212811398949,0.0028456408730944452
id27757,0.8468100166346415,0.14344800237970173,0.009741980985645684
id04081,0.8675032264051659,0.07738478477644108,0.05511198881839263
id27337,0.9220532600901619,0.05784059004776754,0.020106149862088543
id24265,0.7867791861067099,0.1934833582856447,0.019737455607643107
id25917,0.012426798240864206,0.32802880612648594,0.6595443956326508
id04951,0.998549256692496,0.0014066352941020056,4.410801339609317e-05
id14549,0.8900280992579631,0.03588753518842519,0.07408436555361064
id22505,0.033934118608699104,0.32441955808661993,0.6416463233046912
id24002,0.0007725554369550135,0.9992109944150975,1.645014794377385e-05
id18982,0.21838025786433612,0.7310346491968204,0.05058509293884349
id15181,0.022383310763788297,0.9769717471056192,0.0006449421305907972
id21888,0.729228496723376,0.10183246096666958,0.1689390423099545
id12035,0.0029406252139139912,0.001339924312073446,0.9957194504740089
id17991,0.441149346479391,0.019730557850121663,0.5391200956704895
id10707,0.9999237240329846,3.5159027363007707e-05,4.1116939641389996e-05
id07101,0.19735739762051085,0.17258610130260893,0.6300565010768813
id00345,0.23538461543465972,0.6505389959658865,0.11407638859945349
id05912,0.8518393389134502,0.039191574632567686,0.10896908645397947
id13443,0.6495848216662736,0.14720176654609302,0.20321341178763186
id09248,0.3787134649502054,0.12765406906346558,0.49363246598632904
id17542,0.17416222279286273,0.694826758472918,0.13101101873421994
id06995,0.12670422711747342,0.00014905304842864842,0.8731467198341015
id25159,0.550846972823438,0.04007375203031842,0.40907927514624387
id25729,0.6423196658054131,0.3454886026830832,0.012191731511501335
id26949,0.9359679746663966,0.035393829726711526,0.028638195606893187
id27191,0.3997911890126557,0.0191879814024263,0.5810208295849177
id07668,0.4788388676030766,0.0004157118338454344,0.520745420563078
id02230,0.17909575367799938,0.3092920998689889,0.5116121464530116
id15553,0.9982303570555302,1.9211138488189825e-05,0.0017504318059809228
id25688,0.0012162451022076006,0.9966774334950885,0.0021063214027047536
id17545,0.9132406387033918,0.07203662138739876,0.01472273990920871
id13929,0.3275289650805966,0.32429710337293727,0.34817393154646703
id12880,0.2676101804933376,0.6336721032767162,0.09871771622994216
id19282,0.519965845496813,0.14334234374754998,0.33669181075563837
id14690,0.00567774069781221,0.0006293298577960079,0.993692929444393
id17975,0.15976137013625433,0.8200790931865958,0.02015953667714715
id08037,0.9298291433849737,0.00022623029421032113,0.06994462632082629
id15412,0.16309031459388681,0.014552122616244815,0.8223575627898685
id25032,0.5179161289151638,0.07553412140577702,0.406549749679059
id27165,0.9803878101005191,0.012524624022931688,0.007087565876550706
id03327,0.8389050483558176,0.07608018349801762,0.08501476814616432
id18515,0.962105413562595,0.01596320598712913,0.021931380450273784
id21003,0.2451736550928544,0.0111415882756194,0.7436847566315288
id23855,0.000695092784778966,0.972644020290964,0.026660886924258748
id20724,0.7366470210632589,0.11711088648482681,0.14624209245191427
id13303,0.6749293262429394,0.027507847918410877,0.29756282583864646
id16521,0.00016796536101971424,0.3603105565873398,0.6395214780516347
id20775,0.9988100635451564,0.0005327400062691641,0.0006571964485719906
id13029,0.9770005912806102,0.021822907683407222,0.0011765010359877318
id14660,0.8786148552877927,0.11175054986422857,0.009634594847980054
id11028,0.0021689513594369547,7.987265061038898e-05,0.9977511759899522
id14180,0.9542991784681583,0.03387492012452834,0.011825901407307163
id25860,0.9985367665667187,0.0008396316813865972,0.0006236017518839208
id11910,0.39102930533203417,0.02703515565390658,0.5819355390140566
id08065,0.12748445591848598,0.07837096467742935,0.7941445794040838
id22674,0.003309605644711842,0.0022238451099453457,0.9944665492453456
id25018,0.43321082647804643,0.022857911462178394,0.5439312620597766
id10892,0.0010217768073000322,0.9986580974757928,0.0003201257169109171
id10217,0.01917691003998683,0.9807576177953197,6.54721646916074e-05
id12996,0.3747909779891224,0.30348748509696527,0.3217215369139126
id18262,0.8182727850127633,0.07672252580575264,0.10500468918148258
id08606,0.004295054526440823,0.9946597629449844,0.0010451825285875981
id17233,0.7128258178264588,0.04133614513629944,0.24583803703724252
id00101,0.7137142195795484,0.11813278110235163,0.16815299931810154
id12225,0.7826291245727698,0.09466134710287605,0.12270952832435404
id01364,0.05585610669395732,0.9318287229403392,0.01231517036569938
id24973,0.6524715179765819,0.06618413294655827,0.2813443490768591
id25363,0.9342070089099149,4.453578660440723e-05,0.06574845530347426
id10061,0.565910965657351,0.0433215467140403,0.39076748762860547
id17673,0.25171034983547497,0.707922764933966,0.0403668852305644
id13249,0.3915107914991165,0.0430861491172159,0.5654030593836676
id10107,0.01189617091410729,0.013135888666249363,0.9749679404196362
id04403,0.9842814103783912,0.000296821197951121,0.01542176842365397
id25728,0.8022921181409565,0.10175715368953453,0.09595072816951067
id16184,0.2784433870519005,0.08040592190020059,0.6411506910478981
id03438,0.06990326830677804,0.00013418382660582395,0.9299625478666137
id22923,0.04115534991159718,0.9580281273168716,0.0008165227715306497
id08610,0.9906368430600077,0.0036495321877595055,0.005713624752226525
id25355,0.09431363319257458,0.14849907607604823,0.7571872907313781
id16916,0.43091518999836637,0.5144091149372298,0.05467569506440804
id12793,0.09685490996333969,0.8953718062944386,0.007773283742219042
id11859,0.426260686963629,0.05976640503309273,0.5139729080032782
id02434,0.9998149195654558,0.0001615444119045909,2.353602265987725e-05
id27703,0.018113260759793505,0.0032914457102343,0.9785952935299729
id25212,0.0535309833575127,0.9397333347001545,0.006735681942333649
id11308,0.022850776483967584,0.10603122133937984,0.8711180021766529
id26094,0.8118956931858108,0.12581764157155667,0.062286665242632086
